1 20
2 20
3 20
4 20
5 21
6 22
7 23
8 23
9 25
10 27
11 27
12 29
13 29
14 30
15 31
16 32
17 37
18 42
19 43
20 43
21 48
22 49
23 53
24 59
25 62
26 64
27 65
28 65
29 67
30 68
31 71
32 73
33 74
34 74
35 75
36 77
37 78
38 82
39 85
40 87
41 89
42 89
43 92
44 92
45 92
46 95
47 97
48 100
49 101
50 102
51 104
52 106
53 107
54 109
55 111
56 112
57 114
58 115
59 117
60 117
61 121
62 122
63 123
64 124
65 126
66 128
67 131
68 133
69 135
70 136
71 138
72 139
73 140
74 140
75 143
76 143
77 144
78 145
79 146
80 146
81 146
82 147
83 148
84 149
85 150
86 150
87 151
88 151
89 152
90 155
91 155
92 155
93 156
94 156
95 158
96 158
97 158
98 158
99 159
100 159
