1 550
2 598
3 604
4 609
5 673
6 684
7 684
8 688
9 694
10 695
11 800
12 802
13 880
14 880
15 1022
16 1022
17 1022
18 1022
19 1143
20 1149
21 1213
22 1213
23 1251
24 1251
25 1252
26 1325
27 1325
28 1325
29 1401
30 1470
31 1526
32 1527
33 1527
34 1587
35 1603
36 1628
37 1656
38 1704
39 1739
40 1765
41 1801
42 1837
43 1863
44 1892
45 1920
46 1929
47 1933
48 1941
49 1972
50 2000
51 2050
52 2078
53 2085
54 2158
55 2167
56 2171
57 2203
58 2226
59 2242
60 2260
61 2273
62 2285
63 2305
64 2311
65 2315
66 2337
67 2341
68 2341
69 2341
