1 1061
2 1259
3 1343
4 1470
5 1566
6 1670
7 1911
8 1938
9 2039
10 2122
11 2261
12 2385
13 2515
14 2583
15 2724
16 2991
17 3151
18 3459
19 3634
20 3696
21 3799
22 3918
23 3996
24 4272
25 4367
26 4480
27 4633
28 5059
29 5209
30 5323
31 5503
32 5691
33 5937
34 6097
35 6411
36 6584
37 6912
38 7006
39 7263
40 7511
41 7803
42 8754
43 9007
44 9442
45 9796
46 10452
47 10801
48 11138
49 11348
50 11983
51 12365
52 12562
53 12793
54 13192
55 13455
56 13912
57 14254
58 14463
59 14955
60 15239
61 15707
62 15883
63 16161
64 16574
65 16936
66 17346
67 17771
68 17985
69 18271
70 18590
71 19097
72 19363
73 19669
74 20053
75 20427
76 20746
77 21026
78 21414
79 21661
80 21975
81 22245
82 22531
83 22730
84 23094
85 23357
86 23576
87 23706
88 23948
89 24146
90 24298
91 24494
92 24657
93 24808
94 24911
95 24997
96 25032
97 25116
98 25116
