1 1009
2 1035
3 1046
4 1064
5 1070
6 1094
7 1121
8 1133
9 1141
10 1149
11 1183
12 1184
13 1200
14 1218
15 1232
16 1249
17 1254
18 1309
19 1330
20 1371
21 1421
22 1445
23 1501
24 1560
25 1674
26 1796
27 1892
28 1987
29 2029
30 2116
31 2204
32 2322
33 2446
34 2554
35 2666
36 2793
37 2882
38 2988
39 3118
40 3247
41 3396
42 3493
43 3587
44 3682
45 3776
46 3818
47 3874
48 3937
49 4014
50 4074
51 4156
52 4224
53 4308
54 4382
55 4449
56 4541
57 4610
58 4693
59 4806
60 4879
61 4966
62 5034
63 5101
64 5170
65 5244
66 5306
67 5331
68 5371
69 5409
70 5439
71 5469
72 5490
73 5490
