Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
53	:	1624958614.876	     5.722	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Khandwa
56	:	1624958616.412	     4.900	0	571	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Burhanpur
55	:	1624958615.894	     5.767	0	568	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Rajkot
57	:	1624958616.927	     5.542	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Jamui
59	:	1624958617.936	     4.662	0	372	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AR_Upper_Dibang_Valley
58	:	1624958617.432	     5.528	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Krishnagiri
60	:	1624958618.443	     5.457	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HR_Gurugram
61	:	1624958618.949	     5.028	0	567	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AR_Lohit
62	:	1624958619.519	     5.565	0	357	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_OR_Puri
63	:	1624958620.044	     5.564	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_WB_Cooch_Behar
64	:	1624958620.598	     5.369	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Barnala
65	:	1624958621.136	     5.427	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KL_Ernakulam
66	:	1624958621.662	     5.588	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Amravati
67	:	1624958622.182	     5.544	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Parbhani
68	:	1624958622.715	     5.442	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PY_Yanam
69	:	1624958623.227	     5.449	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_OR_Cuttack
70	:	1624958623.757	     5.650	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Kutch
71	:	1624958624.280	     5.566	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Bhagalpur
72	:	1624958624.805	     5.427	0	368	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Bengaluru_Rural
73	:	1624958625.351	     5.419	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TR_Unokoti
74	:	1624958625.889	     5.575	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Amroha
75	:	1624958626.436	     5.617	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HP_Bilaspur
76	:	1624958626.950	     5.368	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JK_Samba
77	:	1624958627.458	     5.462	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Bathinda
78	:	1624958628.003	     5.553	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_WB_Nadia
79	:	1624958628.521	     5.626	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Bhilwara
80	:	1624958629.056	     5.336	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Madhubani
81	:	1624958629.578	     5.363	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Latur
82	:	1624958630.120	     5.585	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JH_Godda
83	:	1624958630.668	     5.562	0	356	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HR_Nuh
84	:	1624958631.225	     5.422	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Mehsana
86	:	1624958632.293	     4.857	0	369	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_ML_North_Garo_Hills
85	:	1624958631.746	     5.470	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Auraiya
87	:	1624958632.797	     5.588	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Banswara
88	:	1624958633.345	     5.398	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Muzaffarpur
90	:	1624958634.392	     4.571	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_AR_Anjaw
89	:	1624958633.889	     5.390	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JK_Jammu
91	:	1624958634.923	     5.537	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Unnao
93	:	1624958636.004	     4.545	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Indore
92	:	1624958635.464	     5.615	0	571	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Cuddalore
94	:	1624958636.542	     5.427	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Ajmer
95	:	1624958637.102	     5.375	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Ujjain
97	:	1624958638.163	     4.548	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_OR_State_Pool
96	:	1624958637.644	     5.336	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_CT_Raigarh
98	:	1624958638.692	     4.636	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_ML_Ribhoi
