Dist_name,Kpar1,Kpar2,Kpar3,Kpar4,Kpar5,Population,Err_with_increasing_weights,resnorm_from_lsqnonlin,Err_with_same_weights,Max_err,Highest_cases,Confirmed,Deaths,recovered,ratio
TN_Chengalpattu,0.10738093,0.13564674,0.38757451,0.0017407959,0.0005449408,2556244.0,3.206888e-05,0.0042708108,36.809472,0.00040375989,49019.0,50878,757,49764,10.402888
KA_Vijayapura,0.13871605,0.16331818,0.18338892,0.0024220706,0.00088698225,2175102.0,6.3250918e-05,0.0058193118,35.732729,0.00078274703,14001.0,14364,206,14090,33.229379
JH_Ranchi,0.10136278,0.15253974,0.10043651,0.00063838667,0.00091920192,2912022.0,0.00015898938,0.015327317,34.392435,0.00070029058,29326.0,31857,224,31013,23.398243
JK_Pulwama,0.085752352,0.10500658,0.065472081,0.0025978354,0.00070880326,570060.0,0.00059091033,0.036523562,33.556617,0.0025526494,5359.0,5669,88,5517,33.34418
HR_Rohtak,0.071708478,0.090116336,0.19099868,0.0013206803,0.00021725407,1058683.0,0.00014093932,0.022204431,34.765745,0.001018465,11846.0,12222,147,12011,13.985763
UP_Mathura,0.071576314,0.065713035,0.13668874,0.0020040565,0.00085650872,2541894.0,0.00035921785,0.035207622,23.209993,0.0013357828,6495.0,6786,110,6620,16.340345
KL_Kannur,0.073939856,0.13602385,0.068571268,0.00046170593,0.00036821837,2525637.0,0.00028433443,0.018477676,24.016406,0.0011085855,36433.0,43477,231,40249,17.10095
UP_Amethi,0.090895885,0.076901871,0.047439229,0.0016478384,0.0022793198,2549935.0,0.00041881861,0.030114655,31.550264,0.0018256514,3470.0,3685,39,3587,58.933243
HR_Jhajjar,0.11581499,0.14195651,0.13574438,0.0025238821,0.0010781627,956907.0,0.00010523397,0.029437614,36.283944,0.001638683,5612.0,5851,101,5736,37.129068
BR_Nalanda,0.11671476,0.11043319,0.15471892,0.0015451219,0.00071839977,2872523.0,0.00017091026,0.042210405,38.886659,0.0011249015,7948.0,8279,57,8166,30.724265
TN_Coimbatore,0.12700072,0.16995539,0.27528609,0.0017833419,0.00053101506,3472578.0,0.00015751817,0.0053053748,33.252196,0.0009067505,50912.0,53622,662,52352,16.546582
PB_Fazilka,0.090542676,0.077285408,0.083762722,0.0019616374,0.0010821807,1180483.0,0.0002878717,0.037668321,37.093303,0.0022903865,3783.0,3889,70,3788,30.754238
RJ_Ganganagar,0.16434579,0.20617551,0.10721094,0.001231149,0.0011966734,1969520.0,0.00019563367,0.037444844,17.857671,0.001953364,6400.0,6693,42,6542,70.038757
UP_Bareilly,0.097964555,0.09331974,0.10881328,0.0012784398,0.0015898279,4465344.0,0.0010062301,0.022701698,19.792083,0.0022894789,13704.0,14421,165,14023,31.509538
GJ_Vadodara,0.073477414,0.087752994,0.10559925,0.00073246126,0.00068817676,3639775.0,0.00010634649,0.0050398062,37.784442,0.00073872718,22932.0,26782,240,25412,25.155095
TN_Pudukkottai,0.10831861,0.1438811,0.055721205,0.0021487352,0.0023598766,1918725.0,5.9300761e-05,0.0073883219,20.840206,0.00049379416,11302.0,11501,155,11303,50.780605
OR_Jagatsinghpur,0.11764677,0.16800273,0.088957178,0.00076821305,0.0013123279,1136604.0,0.0005148473,0.027412673,28.718461,0.0025393322,9015.0,9112,38,9056,36.085527
TN_Kallakurichi,0.12199875,0.16155485,0.10835612,0.0017154127,0.00054550222,1370281.0,0.00024260408,0.019602882,39.622446,0.0013760433,10747.0,10860,108,10724,35.851835
OR_Jajpur,0.13240406,0.19450516,0.092019164,0.00054341904,0.00073255341,1826275.0,0.00037439405,0.039833989,24.354519,0.0031174317,11794.0,12127,26,12023,42.17638
UP_Prayagraj,0.10055244,0.14745894,0.039749986,0.0013278608,0.0038906406,5959798.0,0.00012067271,0.0023806194,24.089236,0.00044367236,27602.0,28918,401,28170,59.800164
KA_Chikkamagaluru,0.14791468,0.2133027,0.2155615,0.0013890875,0.0003230258,1137753.0,0.00061831963,0.02887469,32.550903,0.0027767771,13545.0,13872,139,13651,21.775928
JH_East_Singhbhum,0.094062036,0.15013848,0.059150543,0.0019542034,0.0016435394,2291032.0,0.00035225117,0.012520095,32.605409,0.0014615426,17524.0,18210,356,17696,30.848846
UP_Varanasi,0.081902951,0.091325042,0.091116844,0.0017256736,0.0018978617,3682194.0,7.7040141e-05,0.0026160593,13.71832,0.00039148903,21702.0,23214,452,22400,29.625372
UP_Auraiya,0.097075166,0.10587424,0.023658516,0.0023038592,0.0031281339,1372287.0,0.00014183713,0.032113247,31.251174,0.0010298225,3387.0,3522,46,3434,113.46629
WB_Hooghly,0.12223896,0.14857628,0.14332762,0.0020223539,0.00087930064,5520389.0,2.4342511e-05,0.0030737493,16.597974,0.00036645935,27369.0,29183,480,28342,38.498397
