Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1611330383.388	     6.211	0	935	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_MH_Thane
5	:	1611330384.464	     6.181	0	935	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_WB_Malda
9	:	1611330386.682	     6.444	0	935	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_HR_Hisar
10	:	1611330387.202	     6.680	0	932	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_MH_Pune
16	:	1611330390.410	     6.733	0	941	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_RJ_Bikaner
15	:	1611330389.862	     8.459	0	1144	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_CT_Balod
11	:	1611330387.709	    11.791	0	6262	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_BR_Kishanganj
21	:	1611330393.126	     7.968	0	530	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_GA_Unknown
18	:	1611330391.432	    11.077	0	1228	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_MP_Dindori
27	:	1611330396.410	     7.266	0	938	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_KL_Kollam
20	:	1611330392.547	    11.426	0	1249	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_GJ_Chhota_Udaipur
30	:	1611330398.001	     7.209	0	938	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_RJ_Jalore
33	:	1611330399.597	     7.693	0	1005	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_BR_Buxar
29	:	1611330397.449	    11.793	0	1222	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_MP_Panna
41	:	1611330404.008	     7.548	0	935	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_RJ_Alwar
42	:	1611330404.513	     7.930	0	941	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_KL_Wayanad
43	:	1611330405.058	     8.082	0	947	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_KL_Kozhikode
36	:	1611330401.301	    12.932	0	1225	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_AR_Tawang
47	:	1611330407.204	     8.063	0	564	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_RJ_Evacuees
49	:	1611330408.219	     8.848	0	1005	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_BR_Jamui
50	:	1611330408.810	     8.509	0	586	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_AR_Upper_Dibang_Valley
52	:	1611330409.923	     8.412	0	558	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_AR_Lohit
53	:	1611330410.520	     9.089	0	1431	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_PB_Barnala
31	:	1611330398.509	    22.507	0	19245	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_TN_Thoothukkudi
59	:	1611330413.706	     8.980	0	965	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_KA_Bengaluru_Rural
56	:	1611330412.154	    11.030	0	1354	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_PY_Yanam
48	:	1611330407.717	    16.368	0	1443	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_MP_Burhanpur
62	:	1611330415.250	     9.878	0	944	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_HP_Bilaspur
57	:	1611330412.671	    19.959	0	6558	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_GJ_Kutch
74	:	1611330421.645	    11.049	0	558	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_AR_Anjaw
76	:	1611330422.741	    12.361	0	1367	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_TN_Cuddalore
78	:	1611330423.812	    13.055	0	935	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_RJ_Ajmer
81	:	1611330425.479	    11.814	0	324	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_OR_State_Pool
80	:	1611330424.918	    12.633	0	941	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_CT_Raigarh
71	:	1611330420.069	    19.229	0	1255	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_ML_North_Garo_Hills
84	:	1611330427.208	    13.930	0	947	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_HR_Fatehabad
86	:	1611330428.252	    13.305	0	950	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_OR_Jharsuguda
87	:	1611330428.847	    18.159	0	1153	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_JK_Kishtwar
89	:	1611330429.914	    17.687	0	773	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_MZ_Champhai
97	:	1611330437.431	    14.538	0	938	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_UP_Bijnor
99	:	1611330439.315	    15.306	0	570	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_GJ_Other_State
100	:	1611330441.155	    15.594	0	941	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_JH_Ramgarh
94	:	1611330433.246	    27.733	0	5384	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_OR_Nabarangapur
103	:	1611330447.606	    18.335	0	1147	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_KA_Hassan
104	:	1611330451.987	    15.259	0	1017	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_AR_Changlang
95	:	1611330435.122	    32.808	0	22252	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_UT_Bageshwar
105	:	1611330454.643	    15.183	0	327	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_AR_Dibang_Valley
106	:	1611330456.770	    14.148	0	1011	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_HR_Kaithal
79	:	1611330424.349	    50.189	0	45104	0	0	/software/Matlab/bin/matlab -nodisplay -r optimize_MP_Ujjain
