Dist_name,Kpar1,Kpar2,Kpar3,Kpar4,Kpar5,Population,Err_with_increasing_weights,resnorm_from_lsqnonlin,Err_with_same_weights,Max_err,Highest_cases,Confirmed,Deaths,recovered,ratio
AP_Chittoor,0.091778509,0.15152981,0.12969289,0.0010362683,0.001177131,4170468.0,0.00014624034,0.001833881,24.386497,0.00065661132,76849.0,76849,769,73062,16.429621
AP_Prakasam,0.071047024,0.14345717,0.072384137,0.00068413179,0.0025106352,3392764.0,0.0024467346,0.0057770839,38.134836,0.0045661189,58663.0,58663,567,55937,16.812892
AP_Srikakulam,0.10695038,0.15111984,0.1877704,0.00094463793,0.0013454521,2699471.0,0.00048746744,0.0045625057,13.406821,0.0012948859,43551.0,43551,339,42079,15.92906
AP_S_P_S__Nellore,0.13652673,0.21066748,0.28722375,0.0013311424,0.0010877717,2966082.0,0.00017454562,0.0028580654,26.242636,0.0011713851,59082.0,59082,485,58365,13.685423
AP_Y_S_R__Kadapa,0.089540024,0.15813899,0.10652311,0.00088596589,0.00087492205,2884524.0,0.00040338303,0.0052648921,28.468143,0.0021906673,51252.0,51252,431,49245,16.694263
BR_Gaya,0.1109504,0.084842095,0.080195337,0.0014019295,0.0017762073,4379383.0,0.00012755057,0.039949088,24.535254,0.0014265409,6549.0,6549,48,6176,41.288761
BR_Muzaffarpur,0.11805336,0.13125219,0.038159732,0.00077838165,0.0051819338,4778610.0,9.9153387e-05,0.044879472,16.938719,0.0013916525,9641.0,9641,38,9031,111.00739
BR_Patna,0.12415581,0.14736593,0.14482121,0.0010795401,0.0028570779,5772804.0,0.00021334717,0.017440947,34.250506,0.00144569,34680.0,34680,259,31949,34.589705
BR_Rohtas,0.1054,0.074214535,0.087461939,0.0011855634,0.0018800197,2962593.0,0.00012145194,0.035444768,29.428483,0.0009539882,6134.0,6134,37,5945,30.226183
CH_Chandigarh,0.095647959,0.19802625,0.085916925,0.0016438712,0.00061221482,1055450.0,0.00054658167,0.0058161358,12.324365,0.0016817715,14085.0,14085,222,13230,19.75136
GJ_Bhavnagar,0.11147001,0.14314288,0.019319832,0.0020998807,0.0024890499,2877961.0,4.0568902e-05,0.014287779,12.415374,0.00043093393,4694.0,4694,67,4532,200.12189
GJ_Gir_Somnath,0.081405193,0.047008264,-0.003221591,0.002119578,-0.017644198,1217477.0,4.5079449e-05,0.044933851,1.4246417,0.00054756335,1752.0,1752,23,1563,-1095.3857
GJ_Rajkot,0.084087275,0.098485316,0.0544157,0.0013775838,0.0017728064,3157676.0,0.0010965325,0.013948784,11.430661,0.0027224261,12327.0,12327,159,11309,54.305888
GJ_Vadodara,0.06750038,0.092712403,0.029885501,0.00095263476,0.0014156857,3639775.0,0.00060688882,0.0040603048,12.729188,0.0019009379,15251.0,15251,209,12887,72.6418
